,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Aggressive#35,0.4782299737,1.5716359379,1.1743283528,1.1759189181,1.1725244433,1.2561257776,1.1691146909,1.2462540132,1.2714647125,1.2516259349,1.2569541785,1.1838675952,1.1767507637,1.170453982,1.170453982,1.2302474195,1.1886467284
carIn10804:1,0.0160790755,0.0060345515,0.0368734607,0.0803170068,0.1341577454,0.0615994477,0.098433723,0.5081139071,0.3808780001,0.3748136128,0.4064278366,0.3850294031,0.3719730351,0.4142413591,0.3711601446,0.3733267124,0.3926337603
