sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
481;SDS011;227;48.442;9.997;2017-05-02T00:00:21;16.40;;;5.72;;
481;SDS011;227;48.442;9.997;2017-05-02T00:02:48;12.00;;;5.07;;
481;SDS011;227;48.442;9.997;2017-05-02T00:05:16;8.97;;;5.05;;
481;SDS011;227;48.442;9.997;2017-05-02T00:07:45;10.77;;;5.23;;
481;SDS011;227;48.442;9.997;2017-05-02T00:10:13;9.63;;;5.62;;
481;SDS011;227;48.442;9.997;2017-05-02T00:12:45;15.83;;;5.50;;
481;SDS011;227;48.442;9.997;2017-05-02T00:15:11;12.58;;;5.57;;
481;SDS011;227;48.442;9.997;2017-05-02T00:17:37;12.03;;;5.45;;
481;SDS011;227;48.442;9.997;2017-05-02T00:20:04;25.72;;;5.62;;
481;SDS011;227;48.442;9.997;2017-05-02T00:22:31;9.73;;;4.68;;
481;SDS011;227;48.442;9.997;2017-05-02T00:25:07;11.12;;;5.30;;
481;SDS011;227;48.442;9.997;2017-05-02T00:27:41;7.75;;;4.35;;
481;SDS011;227;48.442;9.997;2017-05-02T00:30:08;9.85;;;5.40;;
481;SDS011;227;48.442;9.997;2017-05-02T00:32:35;13.75;;;5.07;;
481;SDS011;227;48.442;9.997;2017-05-02T00:35:03;12.17;;;5.37;;
481;SDS011;227;48.442;9.997;2017-05-02T00:37:32;10.48;;;5.72;;
481;SDS011;227;48.442;9.997;2017-05-02T00:39:58;9.42;;;5.65;;
481;SDS011;227;48.442;9.997;2017-05-02T00:42:26;13.32;;;6.23;;
481;SDS011;227;48.442;9.997;2017-05-02T00:44:53;12.95;;;6.78;;
481;SDS011;227;48.442;9.997;2017-05-02T00:47:21;14.87;;;7.42;;
481;SDS011;227;48.442;9.997;2017-05-02T00:49:48;16.18;;;7.37;;
481;SDS011;227;48.442;9.997;2017-05-02T00:52:18;12.97;;;6.57;;
481;SDS011;227;48.442;9.997;2017-05-02T00:54:48;11.95;;;6.63;;
481;SDS011;227;48.442;9.997;2017-05-02T00:57:16;10.32;;;5.48;;
481;SDS011;227;48.442;9.997;2017-05-02T00:59:43;9.65;;;5.77;;
481;SDS011;227;48.442;9.997;2017-05-02T01:02:09;16.18;;;7.05;;
481;SDS011;227;48.442;9.997;2017-05-02T01:04:35;14.57;;;6.73;;
481;SDS011;227;48.442;9.997;2017-05-02T01:07:01;12.12;;;6.38;;
481;SDS011;227;48.442;9.997;2017-05-02T01:09:27;13.23;;;5.68;;
