sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
1178;SDS011;578;48.408;10.004;2017-04-01T00:00:11;12.72;;;9.05;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:01:10;11.17;;;10.08;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:02:08;14.88;;;10.53;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:03:07;10.68;;;9.67;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:04:06;10.58;;;9.48;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:05:04;9.78;;;8.80;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:06:03;10.70;;;9.60;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:07:01;13.07;;;10.13;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:07:59;13.17;;;9.08;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:08:58;12.28;;;9.93;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:09:56;11.43;;;10.30;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:10:54;10.23;;;9.23;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:11:53;11.57;;;10.43;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:12:51;13.77;;;9.62;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:13:50;13.10;;;9.93;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:14:48;13.48;;;10.30;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:15:46;10.60;;;9.52;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:16:45;10.60;;;9.57;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:17:43;11.87;;;9.55;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:18:41;9.58;;;8.65;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:19:40;10.97;;;9.58;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:20:39;12.13;;;8.73;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:21:37;10.23;;;9.25;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:22:35;11.68;;;10.47;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:23:34;10.15;;;9.25;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:24:32;10.75;;;9.10;;
1178;SDS011;578;48.408;10.004;2017-04-01T00:25:30;11.47;;;9.08;;
