day,hour,Final Reading, belief,disbelief,uncertainity,atomicity,expectation
20170616,3,17.352427047672172,0.96431289569,0.0,0.03568710431,0.5,0.98215644785
20170616,4,4.803209576725764,0.92195524654,0.0,0.07804475346,0.5,0.96097762327
20170616,5,2.9952065118694753,0.94526293395,0.0,0.05473706605,0.5,0.97263146698
20170616,6,3.30196843938133,0.93852752698,0.0,0.06147247302,0.5,0.96926376349
20170616,7,2.948272959287579,0.93828330944,0.0,0.06171669056,0.5,0.96914165472
20170616,8,2.2292564936545505,0.9394263974,0.0,0.0605736026,0.5,0.9697131987
20170616,9,10.24294288117466,0.94189541454,0.0,0.05810458546,0.5,0.97094770727
20170616,10,1.4187642644824827,0.94103497736,0.0,0.05896502264,0.5,0.97051748868
20170616,11,1.3570272200691935,0.93435787944,0.0,0.06564212056,0.5,0.96717893972
20170616,12,1.263971063508197,0.93092134782,0.0,0.06907865218,0.5,0.96546067391
20170616,13,1.6862972833032601,0.9270924766,0.0,0.0729075234,0.5,0.9635462383
20170616,14,2.0864838389304805,0.92533838723,0.0,0.07466161277,0.5,0.96266919361
20170616,15,10.27707469061204,0.93003290889,0.0,0.06996709111,0.5,0.96501645445
20170616,16,2.484398423521604,0.94649614136,0.0,0.05350385864,0.5,0.97324807068
20170616,17,2.4314688477722175,0.93830641989,0.0,0.06169358011,0.5,0.96915320995
20170616,18,2.5146326581232903,0.93705950804,0.0,0.06294049196,0.5,0.96852975402
20170616,19,2.60387981796744,0.94104886134,0.0,0.05895113866,0.5,0.97052443067
20170616,20,3.186219658119277,0.93884165129,0.0,0.06115834871,0.5,0.96942082565
20170616,21,8.310101422920816,0.94606669419,0.0,0.05393330581,0.5,0.9730333471
20170616,22,4.420806423573069,0.97219702293,0.0,0.02780297707,0.5,0.98609851147
20170616,23,3.90347312410076,0.96777070746,0.0,0.03222929254,0.5,0.98388535373
20170617,0,3.902945910975382,0.95969326146,0.0,0.04030673854,0.5,0.97984663073
20170617,1,4.796741795770108,0.95752253117,0.0,0.04247746883,0.5,0.97876126559
20170617,2,5.158087913930534,0.955652886,0.0,0.044347114,0.5,0.977826443
20170617,3,13.078187030297865,0.96290696362,0.0,0.03709303638,0.5,0.98145348181
20170617,4,4.759165310300547,0.93316929261,0.0,0.06683070739,0.5,0.96658464631
20170617,5,4.007447020028724,0.94022824705,0.0,0.05977175295,0.5,0.97011412353
20170617,6,3.7354891655655753,0.95061894904,0.0,0.04938105096,0.5,0.97530947452
20170617,7,3.8122992962521574,0.94627818679,0.0,0.05372181321,0.5,0.9731390934
20170617,8,3.9402908043346714,0.94580475531,0.0,0.05419524469,0.5,0.97290237766
20170617,9,12.187270380361282,0.94979268687,0.0,0.05020731313,0.5,0.97489634344
20170617,10,3.1512472209492124,0.94448110885,0.0,0.05551889115,0.5,0.97224055443
20170617,11,2.8999387479225405,0.94055207858,0.0,0.05944792142,0.5,0.97027603929
20170617,12,1.8178021296191915,0.94293272902,0.0,0.05706727098,0.5,0.97146636451
20170617,13,1.4819282496896318,0.93625559517,0.0,0.06374440483,0.5,0.96812779759
20170617,14,2.2430598284905323,0.9317260358,0.0,0.0682739642,0.5,0.9658630179
20170617,15,11.052074727645554,0.9317576417,0.0,0.0682423583,0.5,0.96587882085
20170617,16,1.7511828335896948,0.8988221701,0.0,0.1011778299,0.5,0.94941108505
20170617,17,3.160167333886673,0.90467210121,0.0,0.09532789879,0.5,0.95233605061
20170617,18,2.634528980930456,0.91382001577,0.0,0.08617998423,0.5,0.95691000789
20170617,19,3.0663017149350265,0.92366661562,0.0,0.07633338438,0.5,0.96183330781
20170617,20,3.4770948922020097,0.93963365088,0.0,0.06036634912,0.5,0.96981682544
20170617,21,8.821802873432464,0.94465765968,0.0,0.05534234032,0.5,0.97232882984
20170617,22,5.067664389014829,0.97048348383,0.0,0.02951651617,0.5,0.98524174192
20170617,23,5.074535245521494,0.96532485782,0.0,0.03467514218,0.5,0.98266242891
20170618,0,6.131338065493299,0.96107558069,0.0,0.03892441931,0.5,0.98053779035
20170618,1,7.377585605042484,0.95727861655,0.0,0.04272138345,0.5,0.97863930828
20170618,2,7.642546555673121,0.96343944413,0.0,0.03656055587,0.5,0.98171972207
20170618,3,18.403545943158036,0.96400510169,0.0,0.03599489831,0.5,0.98200255085
20170618,4,10.714348056174517,0.95161472417,0.0,0.04838527583,0.5,0.97580736209
20170618,5,11.04003756792422,0.95360047926,0.0,0.04639952074,0.5,0.97680023963
20170618,6,13.787898088025665,0.96045313729,0.0,0.03954686271,0.5,0.98022656865
20170618,7,11.135265025653096,0.96343999008,0.0,0.03656000992,0.5,0.98171999504
20170618,8,8.600708961832527,0.96665317824,0.0,0.03334682176,0.5,0.98332658912
20170618,9,11.92580214173338,0.96407111923,0.0,0.03592888077,0.5,0.98203555962
20170618,10,5.008545511265613,0.95490067232,0.0,0.04509932768,0.5,0.97745033616
20170618,11,2.2311308768252127,0.95129411859,0.0,0.04870588141,0.5,0.9756470593
20170618,12,2.21286903717956,0.93910080592,0.0,0.06089919408,0.5,0.96955040296
20170618,13,2.2331577589503846,0.9344527038,0.0,0.0655472962,0.5,0.9672263519
20170618,14,2.1266711970309995,0.92333283502,0.0,0.07666716498,0.5,0.96166641751
20170618,15,7.257299320999565,0.92515366794,0.0,0.07484633206,0.5,0.96257683397
