day,hour,SensorID,reading,belief,disbelief,uncertainity,atomicity,expectation
2017-03-21,23,1286,6.881782488754449,0.0,0.386281407395054,0.613718592604946,0.5,0.3068592963
2017-03-22,0,1286,6.139573950981963,0.0,0.5716606031118094,0.4283393968881905,0.5,0.21416969845
2017-03-22,1,1286,4.22001953680575,0.19605504483109007,0.45958365794055567,0.34436129722835424,0.5,0.36823569344
2017-03-22,2,1286,4.014643608864041,0.27975807887989224,0.4117339310139292,0.30850799010617863,0.5,0.43401207394
2017-03-22,3,1286,5.864596039284363,0.37279760876833484,0.3585468972446628,0.26865549398700234,0.5,0.50712535576
2017-03-22,4,1286,7.416932767650307,0.4393860594905273,0.3204809033445333,0.24013303716493944,0.5,0.55945257807
2017-03-22,5,1286,11.006476411552388,0.38266571744253375,0.4082000167709632,0.20913426578650307,0.5,0.48723285034
2017-03-22,6,1286,10.911235411823572,0.2991678993650913,0.5373310182835622,0.16350108235134653,0.5,0.38091844055
2017-03-22,7,1286,9.078546167139423,0.2590643186395599,0.5993519867659503,0.14158369459448986,0.5,0.32985616594
2017-03-22,8,1286,8.46379978815494,0.269062102733631,0.5912646562313535,0.13967324103501544,0.5,0.33889872325
2017-03-22,9,1286,10.167783051944092,0.32388926625182685,0.5469142892426342,0.12919644450553894,0.5,0.38848748851
2017-03-22,10,1286,14.58366045974736,0.2757507520453925,0.6142548132940479,0.10999443466055966,0.5,0.33074796938
2017-03-22,11,1286,18.936527714339967,0.19973915726574176,0.72058673298095,0.07967410975330823,0.5,0.23957621215
2017-03-22,12,1286,11.135086371494411,0.2379191341075084,0.6862079613248279,0.07587290456766377,0.5,0.2758555864
2017-03-22,13,1286,9.065656718729672,0.25175728719542645,0.6737475371835653,0.07449517562100831,0.5,0.28900487501
2017-03-22,14,1286,9.910531931238399,0.29345456167810946,0.6362016506560846,0.07034378766580593,0.5,0.32862645552
2017-03-22,15,1286,11.300454708186166,0.334770280015221,0.5989993324774523,0.06623038750732674,0.5,0.36788547378
2017-03-22,16,1286,14.774924918730507,0.3273883150966963,0.6078417328835511,0.06476995201975252,0.5,0.35977329111
2017-03-22,17,1286,14.514215665707567,0.38943288554859057,0.5517718190447561,0.058795295406653285,0.5,0.41883053326
2017-03-22,18,1286,21.758138683495893,0.4270032805947919,0.5178193104241459,0.0551774089810622,0.5,0.45459198508
2017-03-22,19,1286,25.88927018116699,0.48109613337522544,0.46893539402979956,0.04996847259497503,0.5,0.50608036968
2017-03-22,20,1286,31.55891803522398,0.53382131023949,0.42128745155259795,0.04489123820791211,0.5,0.55626692935
2017-03-22,21,1286,35.000237018789946,0.6021386178510247,0.3595488413313024,0.03831254081767288,0.5,0.62129488826
2017-03-22,22,1286,33.25256845259165,0.665035080867064,0.30270906894850225,0.03225585018443379,0.5,0.68116300596
2017-03-22,23,1286,34.13066023335712,0.6946689047942931,0.27592886977536035,0.029402225430346502,0.5,0.70937001751
2017-03-23,0,1286,34.18243052209519,0.7284538013921473,0.2453973304722875,0.026148868135565183,0.5,0.74152823546
2017-03-23,1,1286,32.90302991756351,0.7535155137893663,0.22274896584456805,0.023735520366065653,0.5,0.76538327398
2017-03-23,2,1286,28.692864486963767,0.7402332092487924,0.23644965912984828,0.023317131621359323,0.5,0.75189177506
2017-03-23,3,1286,23.703027620600583,0.7597494660160495,0.21868521646662809,0.021565317517322376,0.5,0.77053212478
2017-03-23,4,1286,27.272541442284517,0.7660312657388539,0.2129672823192965,0.021001451941849596,0.5,0.77653199171
2017-03-23,5,1286,29.367255279695392,0.7622257650712607,0.21687711428896528,0.020897120639774024,0.5,0.77267432539
2017-03-23,6,1286,24.795969022629876,0.7743119379578108,0.2058531515824168,0.01983491045977241,0.5,0.78422939319
2017-03-23,7,1286,14.811409979561713,0.7731183314435122,0.2070773337306101,0.019804334825877682,0.5,0.78302049886
2017-03-23,8,1286,18.129337346494218,0.7768894870801246,0.20363535950994527,0.019475153409930137,0.5,0.78662706379
2017-03-23,9,1286,14.031966777733226,0.7807052246624377,0.20015269486899667,0.01914208046856554,0.5,0.7902762649
2017-03-23,10,1286,13.937793349427375,0.7820808985005389,0.19889710259356352,0.019021998905897675,0.5,0.79159189796
2017-03-23,11,1286,15.339571878249618,0.7833767563639051,0.19771435921483638,0.018908884421258473,0.5,0.79283119857
2017-03-23,12,1286,18.77101087216032,0.7868787810190315,0.19451802372922233,0.018603195251746155,0.5,0.79618037865
2017-03-23,13,1286,19.789018221000834,0.7895091038922707,0.19211729981482906,0.01837359629290025,0.5,0.79869590204
2017-03-23,14,1286,16.291707845696752,0.7895298269764366,0.19209838563351578,0.018371787390047686,0.5,0.79871572068
2017-03-23,15,1286,16.123335449202408,0.791729658457384,0.19009057583279654,0.01817976570981951,0.5,0.80081954132
2017-03-23,16,1286,26.93255816921721,0.7875564529457233,0.1943596068546556,0.018083940199621066,0.5,0.79659842305
2017-03-23,17,1286,23.340552137453596,0.7876660092912697,0.1942593763296805,0.01807461437904981,0.5,0.79670331648
2017-03-23,18,1286,28.58712704786936,0.7858099288835542,0.19615804831457495,0.018032022801870853,0.5,0.79482594028
2017-03-23,19,1286,26.104986220027005,0.7865247122236175,0.19550344045052337,0.017971847325859124,0.5,0.79551063589
2017-03-23,20,1286,28.541046824585482,0.7920686931560483,0.19042619072587286,0.017505116118078805,0.5,0.80082125122
2017-03-23,21,1286,32.769110830325594,0.7987575941999608,0.18430040829672434,0.016941997503314852,0.5,0.80722859295
